ds,ENTRIES_DIFF,EXITS_DIFF,y
2015-10-03,81758.0,70660.0,152418.0
2015-10-04,73757.0,56131.0,129888.0
2015-10-05,156070.0,120685.0,276755.0
2015-10-06,161768.0,125560.0,287328.0
2015-10-07,167243.0,136461.0,303704.0
2015-10-08,175718.0,141902.0,317620.0
2015-10-09,174954.0,149475.0,324429.0
2015-10-10,97969.0,80131.0,178100.0
2015-10-11,83554.0,63604.0,147158.0
2015-10-12,134385.0,106572.0,240957.0
2015-10-13,169783.0,131204.0,300987.0
2015-10-14,167507.0,130315.0,297822.0
2015-10-15,167738.0,133337.0,301075.0
2015-10-16,176317.0,154468.0,330785.0
2015-10-17,93531.0,79093.0,172624.0
2015-10-18,82466.0,65013.0,147479.0
2015-10-19,165198.0,131413.0,296611.0
2015-10-20,167201.0,133153.0,300354.0
2015-10-21,167204.0,134136.0,301340.0
